MSFT	Microsoft Corporation	2,968.42B	399.16	0.01%	227.58B
2	AAPL	Apple Inc	2,565.13B	165.97	0.58%	385.71B
3	NVDA	NVIDIA Corporation	1,968.16B	788.98	3.54%	60.92B
4	GOOG	Alphabet Inc.	1,953.11B	158.15	1.56%	307.39B
5	GOOGL	Alphabet Inc.	1,953.03B	156.59	1.62%	307.39B
6	AMZN	Amazon.com, Inc.	1,833.55B	176.33	0.97%	574.79B
7	META	Meta Platforms, Inc.	1,227.69B	481.28	0.04%	134.90B
8	AVGO	Broadcom Inc.	563.59B	1,215.17	0.87%	38.87B
9	TSLA	Tesla, Inc.	454.71B	142.05	-3.40%	96.77B
10	ASML	ASML Holding N.V.	342.41B	870.09	1.23%	28.37B
11	COST	Costco Wholesale Corporation	315.82B	712.47	0.42%	248.83B
12	PEP	PepsiCo, Inc.	242.34B	176.27	1.23%	91.47B
13	AMD	Advanced Micro Devices, Inc.	239.10B	148.11	1.00%	22.68B
14	NFLX	Netflix, Inc.	238.35B	551.67	-0.61%	33.72B
15	AZN	AstraZeneca PLC	217.55B	70.20	2.41%	45.81B
16	LIN	Linde plc	215.11B	446.62	0.07%	32.85B
17	ADBE	Adobe Inc.	210.30B	464.97	-0.01%	19.94B
18	CSCO	Cisco Systems, Inc.	195.58B	48.26	-0.13%	57.23B
19	TMUS	T-Mobile US, Inc.	192.69B	162.24	-0.06%	78.56B
20	QCOM	QUALCOMM Incorporated	178.38B	159.85	1.41%	36.29B
21	INTU	Intuit Inc.	170.54B	609.06	0.64%	15.09B
22	PDD	PDD Holdings Inc.	161.44B	121.88	7.39%	34.93B
23	CMCSA	Comcast Corporation	159.86B	40.34	0.24%	121.57B
24	AMAT	Applied Materials, Inc.	157.03B	189.07	-0.37%	26.49B
25	TXN	Texas Instruments Incorporated	147.88B	162.67	1.87%	17.52B
26	AMGN	Amgen Inc.	146.18B	272.68	1.39%	28.19B
27	INTC	Intel Corporation	145.17B	34.34	0.41%	54.23B
28	ISRG	Intuitive Surgical, Inc.	130.90B	369.31	0.81%	7.32B
29	HON	Honeywell International Inc.	127.35B	195.31	0.54%	36.66B
30	MU	Micron Technology, Inc.	119.97B	108.49	1.61%	18.31B
31	BKNG	Booking Holdings Inc.	118.20B	3,464.15	1.44%	21.37B
32	LRCX	Lam Research Corporation	113.40B	866.14	-0.47%	14.32B
33	SNY	Sanofi	110.46B	47.05	1.62%	51.60B
34	VRTX	Vertex Pharmaceuticals Incorporated	104.42B	404.14	2.50%	9.87B
35	ADP	Automatic Data Processing, Inc.	100.87B	245.57	0.93%	18.59B
36	ABNB	Airbnb, Inc.	100.58B	155.47	0.30%	9.92B
37	SBUX	Starbucks Corporation	99.44B	87.91	0.34%	36.69B
38	REGN	Regeneron Pharmaceuticals, Inc.	97.64B	905.46	0.96%	13.12B
39	ARM	Arm Holdings plc	95.61B	93.09	6.77%	2.96B
40	MDLZ	Mondelez International, Inc.	92.57B	68.80	1.01%	36.02B
41	ADI	Analog Devices, Inc.	92.55B	186.64	1.79%	11.57B
42	PANW	Palo Alto Networks, Inc.	90.28B	279.42	0.62%	7.53B
43	KLAC	KLA Corporation	85.56B	632.42	0.68%	9.67B
44	GILD	Gilead Sciences, Inc.	83.85B	67.30	0.81%	27.12B
45	SNPS	Synopsys, Inc.	78.36B	514.02	0.65%	6.13B
46	CME	CME Group Inc.	77.70B	215.80	1.30%	5.58B
47	CDNS	Cadence Design Systems, Inc.	77.70B	285.15	1.75%	4.09B
48	EQIX	Equinix, Inc.	70.95B	749.88	0.25%	8.19B
49	CRWD	CrowdStrike Holdings, Inc.	69.51B	287.94	1.88%	3.06B
50	MAR	Marriott International, Inc.	68.84B	237.64	0.69%	23.71B
51	MELI	MercadoLibre, Inc.	68.36B	1,348.11	-0.61%	14.47B
52	CTAS	Cintas Corporation	67.69B	667.25	0.90%	9.41B
53	CSX	CSX Corporation	67.44B	34.49	0.42%	14.63B
54	PYPL	PayPal Holdings, Inc.	66.38B	63.08	1.23%	29.77B
55	WDAY	Workday, Inc.	66.20B	252.75	0.21%	7.26B
56	ORLY	O'Reilly Automotive, Inc.	64.33B	1,089.22	-0.16%	15.81B
57	NTES	NetEase, Inc.	59.39B	94.75	1.33%	14.59B
58	PCAR	PACCAR Inc	59.06B	112.67	1.33%	35.13B
59	ROP	Roper Technologies, Inc.	57.44B	536.53	0.40%	6.18B
60	CEG	Constellation Energy Corporation	56.68B	180.41	-0.27%	24.92B
61	NXPI	NXP Semiconductors N.V.	55.84B	217.88	1.28%	13.28B
62	MNST	Monster Beverage Corporation	55.60B	53.41	0.50%	7.14B
63	MRVL	Marvell Technology, Inc.	54.24B	62.67	0.87%	5.51B
64	COIN	Coinbase Global, Inc.	53.98B	222.90	5.63%	3.11B
65	DASH	DoorDash, Inc.	51.11B	126.69	-0.39%	8.64B
66	CPRT	Copart, Inc.	51.10B	53.17	0.55%	4.06B
67	DXCM	DexCom, Inc.	50.61B	131.41	0.53%	3.62B
68	TEAM	Atlassian Corporation	50.08B	193.52	1.03%	3.89B
69	FTNT	Fortinet, Inc.	48.37B	63.39	-0.02%	5.30B
70	IBKR	Interactive Brokers Group, Inc.	47.73B	113.29	1.56%	4.34B
71	ADSK	Autodesk, Inc.	46.28B	216.68	0.08%	5.35B
72	KHC	The Kraft Heinz Company	46.18B	38.05	0.70%	26.64B
73	ODFL	Old Dominion Freight Line, Inc.	45.80B	210.32	-0.71%	5.87B
74	MCHP	Microchip Technology Incorporated	44.98B	83.34	2.03%	8.54B
75	ROST	Ross Stores, Inc.	44.89B	133.85	0.38%	20.38B
76	KSPI	Kaspi.kz JSC	44.86B	117.84	1.83%	4.29B
77	AEP	American Electric Power Company, Inc.	44.56B	84.72	0.62%	18.98B
78	KDP	Keurig Dr Pepper Inc.	43.92B	31.65	0.46%	14.81B
79	LULU	Lululemon Athletica Inc.	43.64B	361.25	2.49%	9.62B
80	PAYX	Paychex, Inc.	43.61B	121.19	1.40%	5.21B
81	SMCI	Super Micro Computer, Inc.	41.09B	702.05	-1.63%	9.25B
82	DDOG	Datadog, Inc.	40.12B	120.74	0.54%	2.13B
83	MRNA	Moderna, Inc.	39.87B	104.16	2.71%	6.85B
84	IDXX	IDEXX Laboratories, Inc.	39.64B	477.37	0.21%	3.66B
85	FAST	Fastenal Company	38.66B	67.47	-0.15%	7.38B
86	GEHC	GE HealthCare Technologies Inc.	38.56B	84.59	0.12%	19.55B
87	CHTR	Charter Communications, Inc.	38.09B	263.33	-0.71%	54.61B
88	TTD	The Trade Desk, Inc.	37.91B	77.63	0.43%	1.95B
89	EXC	Exelon Corporation	37.74B	37.77	0.59%	21.73B
90	JD	JD.com, Inc.	36.63B	26.91	5.49%	152.98B
91	FANG	Diamondback Energy, Inc.	36.07B	202.35	0.80%	8.41B
92	ACGL	Arch Capital Group Ltd.	35.27B	94.01	1.16%	13.63B
93	BIDU	Baidu, Inc.	35.22B	97.57	2.65%	18.98B
94	NDAQ	Nasdaq, Inc.	35.13B	60.98	1.04%	6.06B
95	CSGP	CoStar Group, Inc.	34.70B	85.04	0.93%	2.46B
96	EA	Electronic Arts Inc.	33.97B	126.97	-0.24%	7.66B
97	CTSH	Cognizant Technology Solutions Corporation	33.91B	68.20	1.13%	19.35B
98	BKR	Baker Hughes Company	32.53B	32.48	-0.37%	25.51B
99	TCOM	Trip.com Group Limited	32.51B	49.23	2.56%	6.28B
100	VRSK	Verisk Analytics, Inc.	32.09B	223.72	0.54%	2.68B
101	CDW	CDW Corporation	31.85B	237.44	0.70%	21.38B
102	CCEP	Coca-Cola Europacific Partners PLC	31.58B	68.76	1.75%	20.34B
103	XEL	Xcel Energy Inc.	30.53B	54.97	0.46%	14.21B
104	MPWR	Monolithic Power Systems, Inc.	29.03B	597.40	0.99%	1.82B
105	FWONA	Formula One Group - Series A	28.84B	60.79	0.43%	12.53B
106	ANSS	ANSYS, Inc.	28.30B	324.40	0.71%	2.27B
107	BIIB	Biogen Inc.	28.26B	194.21	-0.09%	9.84B
108	TSCO	Tractor Supply Company	27.42B	253.86	0.42%	14.56B
109	FWONK	Formula One Group - Series C	27.25B	68.53	0.63%	-
110	WTW	Willis Towers Watson PLC	27.17B	264.98	0.17%	9.48B
111	DLTR	Dollar Tree, Inc.	26.52B	121.61	-0.34%	30.60B
112	EBAY	eBay Inc.	26.27B	50.73	0.67%	10.11B
113	ON	ON Semiconductor Corporation	25.91B	60.61	-0.16%	8.25B
114	LI	Li Auto Inc.	25.46B	24.89	-5.67%	17.47B
115	ZS	Zscaler, Inc.	25.44B	169.56	0.21%	1.90B
116	GFS	GLOBALFOUNDRIES Inc.	25.28B	46.22	-0.10%	7.39B
117	RYAAY	Ryanair Holdings plc	25.10B	140.39	1.09%	11.71B
118	FITB	Fifth Third Bancorp	25.05B	36.60	0.97%	8.19B
119	TROW	T. Rowe Price Group, Inc.	24.73B	110.46	1.59%	6.46B
120	ICLR	ICON PLC	24.38B	295.49	2.52%	8.12B
121	MBLY	Mobileye Global Inc.	24.37B	30.28	0.17%	2.08B
122	TW	Tradeweb Markets Inc.	23.96B	101.43	0.38%	1.34B
123	TTWO	Take-Two Interactive Software, Inc.	23.94B	140.26	-0.24%	5.40B
124	MDB	MongoDB, Inc.	23.90B	328.58	0.34%	1.68B
125	VOD	Vodafone Group PLC	23.42B	8.65	3.72%	47.57B
126	FCNCA	First Citizens BancShares, Inc.	23.36B	1,621.21	3.44%	17.41B
127	APP	AppLovin Corporation	22.98B	67.18	0.57%	3.28B
128	MSTR	MicroStrategy Incorporated	22.72B	1,335.22	13.72%	496.26M
129	ALGN	Align Technology, Inc.	22.63B	301.60	0.88%	3.86B
130	FCNCO	First Citizens BancShares, Inc.	22.55B	21.78	-0.41%	17.41B
131	AXON	Axon Enterprise, Inc.	22.13B	293.78	0.06%	1.56B
132	WDC	Western Digital Corporation	21.91B	67.22	1.77%	11.26B
133	ARGX	argenx SE	21.81B	367.25	1.95%	39.48M
134	STLD	Steel Dynamics, Inc.	21.78B	137.46	0.41%	18.80B
135	SBAC	SBA Communications Corporation	21.20B	195.98	-0.04%	2.71B
136	PTC	PTC Inc.	21.19B	177.45	0.61%	2.18B
137	BNTX	BioNTech SE	20.98B	88.30	1.72%	4.24B
138	WBD	Warner Bros. Discovery, Inc.	20.59B	8.45	0.54%	41.32B
139	NTAP	NetApp, Inc.	20.22B	98.01	0.06%	6.18B
140	ULTA	Ulta Beauty, Inc.	20.07B	415.39	0.46%	11.21B
141	LPLA	LPL Financial Holdings Inc.	19.70B	265.05	0.94%	10.05B
142	HBAN	Huntington Bancshares Incorporated	19.62B	13.48	1.51%	6.96B
143	DKNG	DraftKings Inc.	19.31B	40.81	0.32%	3.67B
144	PFG	Principal Financial Group, Inc.	19.11B	81.17	0.91%	13.67B
145	GMAB	Genmab A/S	19.00B	29.05	1.22%	2.44B
146	ILMN	Illumina, Inc.	18.97B	119.56	1.81%	4.50B
147	FSLR	First Solar, Inc.	18.97B	176.95	1.09%	3.32B
148	CINF	Cincinnati Financial Corporation	18.96B	120.89	0.78%	10.01B
149	VRSN	VeriSign, Inc.	18.71B	185.56	0.78%	1.49B
